"Reporting U", Soul
"LivEviL K", Blood
"Squampton", Death
"Letharg", Death
"grn bussin", Death
"FerrumElite", Onyx
"LimeFIT", Onyx
"xPandi", Onyx
"Ramir", Onyx
"erknn", Onyx
"Addict4269", Onyx
"BigBobOakley", Onyx
"BlazedMilk", Onyx
"Catalystt", Dragonstone
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"7800X3D", Diamond
"Tauhdrik", Diamond
"Avoids Sun", Diamond
"gorlai", Diamond
"m0nkf1sh", Diamond
"Mr Fortune", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"g humbie", Diamond
"0liwn", Ruby
"GIM Mawija", Ruby
"Fe mowenthu", Ruby
"Kyaandere", Ruby
"FoxyPogDog", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"Zerotonine", Emerald
"IronTilx", Emerald
"Disabled FE", Emerald
"Iron Revoka", Emerald
"GIM Hasson", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Battle Boost", Sapphire
"Feyral", Sapphire
"ghosttoy2", Sapphire
"Junne", Sapphire
"Jaegerjaqs", Sapphire
"Optimel", Sapphire
"nEtKeEpEr", Sapphire
"SmokeDatZaZa", Sapphire
"GIM Tintti", Sapphire
"MrSlingshot", Sapphire
"Steely Lamb", Sapphire
"GIM Lantti", Sapphire
"Harglet", Sapphire
"1Hbandit", RedTopaz
"Smol Loan", RedTopaz
"SkippyKitty", RedTopaz
"BobUnlimited", RedTopaz
"Foxys", RedTopaz
"MlLFuker", RedTopaz
