"LivEviL K", Soul
"Letharg", Blood
"Squampton", Death
"addict4242", Death
"IM Pandi", Zenyte
"erknn", Zenyte
"LimeFIT", Onyx
"BigBobOakley", Onyx
"Tauhdrik", Onyx
"Catalystt", Onyx
"BlazedMilk", Onyx
"WiizBoom", Dragonstone
"DottyBirdGIM", Dragonstone
"5tuns", Dragonstone
"0liwn", Dragonstone
"Iron Revoka", Dragonstone
"Fresh Panty", Dragonstone
"IM RuneHoon", Dragonstone
"WsInTheShat", Dragonstone
"IronTilx", Dragonstone
"IamIronStorm", Dragonstone
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"g humbie", Diamond
"Revoka", Diamond
"m0nkf1sh", Diamond
"Kyaandere", Diamond
"IronJethide", Diamond
"Fe mowenthu", Diamond
"Kebab Flow", Diamond
"Fe Alighieri", Diamond
"GIM Mawija", Diamond
"Mr Fortune", Diamond
"Disabled FE", Diamond
"ironpmb", Ruby
"ghosttoy2", Ruby
"GIM Tintti", Ruby
"Rorkum", Ruby
"rat eggy", Emerald
"Zerotonine", Emerald
"GIM Lantti", Emerald
"im2ndss", Emerald
"Steely Lamb", Emerald
"nEtKeEpEr", Emerald
"PancakePoet", Emerald
"DI8S", Emerald
"Junne", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Harglet", Sapphire
"Jaegerjaqs", Sapphire
"1Hbandit", Sapphire
"Optimel", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", Sapphire
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"IronNemoko", RedTopaz
"SkippyKitty", RedTopaz
"Fe Pandi", RedTopaz
"NeutralBob", RedTopaz
