"LivEviL K", Blood
"Letharg", Death
"Squampton", Death
"Rex IM", Death
"addict4242", Death
"IM Pandi", Zenyte
"Ramir", Zenyte
"erknn", Zenyte
"LimeFIT", Onyx
"Battle Boost", Onyx
"BigBobOakley", Onyx
"Fe ndrs", Onyx
"Catalystt", Onyx
"Tauhdrik", Onyx
"BlazedMilk", Onyx
"5tuns", Dragonstone
"DottyBirdGIM", Dragonstone
"Marsh Kebab", Dragonstone
"IM RuneHoon", Dragonstone
"Fresh Panty", Dragonstone
"0liwn", Dragonstone
"WsInTheShat", Dragonstone
"IronTilx", Diamond
"Iron Revoka", Diamond
"7800X3D", Diamond
"TheWr0ngname", Diamond
"Dizzy Pog", Diamond
"g humbie", Diamond
"m0nkf1sh", Diamond
"IamIronStorm", Diamond
"GIM Mawija", Diamond
"Mr Fortune", Diamond
"Fe mowenthu", Diamond
"IronJethide", Diamond
"Kebab Flow", Diamond
"Kyaandere", Diamond
"Disabled FE", Diamond
"Fe Alighieri", Ruby
"ironpmb", Ruby
"Rorkum", Ruby
"ghosttoy2", Emerald
"rat eggy", Emerald
"GIM Tintti", Emerald
"Zerotonine", Emerald
"Steely Lamb", Emerald
"GIM Lantti", Emerald
"PancakePoet", Emerald
"Junne", Emerald
"im2ndss", Emerald
"TooKlean", Emerald
"Windows Grp", Sapphire
"Feyral", Sapphire
"Jaegerjaqs", Sapphire
"nEtKeEpEr", Sapphire
"DI8S", Sapphire
"1Hbandit", Sapphire
"Harglet", Sapphire
"Optimel", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Reiksha", Sapphire
"MrSlingshot", Sapphire
"GIM Liq", RedTopaz
"BobUnlimited", RedTopaz
"Smol Loan", RedTopaz
"IronNemoko", RedTopaz
"SkippyKitty", RedTopaz
"GIM Jxcob", RedTopaz
"NeutralBob", RedTopaz
