"Metalrule280", Wrath
"addict4242", Soul
"LivEviL K", Soul
"BobBallistic", Soul
"Letharg", Blood
"erknn", Blood
"Tauhdrik", Zenyte
"LimeFIT", Zenyte
"WiizBoom", Zenyte
"IronTilx", Onyx
"its me bon", Onyx
"Iron Revoka", Onyx
"Blood Elf", Onyx
"IamIronStorm", Onyx
"0liwn", Onyx
"Dizzy Pog", Onyx
"DottyBirdGIM", Onyx
"Kyaandere", Onyx
"g humbie", Onyx
"7800X3D", Onyx
"Kebab Flow", Onyx
"Fresh Panty", Onyx
"Disabled FE", Dragonstone
"5tuns", Dragonstone
"IM RuneHoon", Dragonstone
"Fe mowenthu", Dragonstone
"WsInTheShat", Dragonstone
"GIM Danny-MZ", Dragonstone
"IronJethide", Dragonstone
"GIM Mawija", Dragonstone
"GIM Tintti", Diamond
"GIM Lantti", Diamond
"rat eggy", Diamond
"nEtKeEpEr", Diamond
"Revoka", Diamond
"m0nkf1sh", Diamond
"Devios", Diamond
"1Hbandit", Diamond
"Zerotonine", Diamond
"IM Jewsh", Diamond
"IMFrosendal", Diamond
"ArmitronOSRS", Diamond
"Jaegerjaqs", Diamond
"Ferrosenium", Diamond
"ghosttoy2", Ruby
"Optimel", Ruby
"Steely Lamb", Ruby
"JunglyBwana", Ruby
"im2ndss", Ruby
"bertbertbert", Ruby
"Rorkum", Ruby
"ironpmb", Ruby
"devilisious", Emerald
"JungleIron", Emerald
"qc_when", Emerald
"La VileB", Emerald
"Kusanagi0101", Emerald
"Dae alt", Emerald
"Molirac k", Emerald
"IM TOISTO", Emerald
"PancakePoet", Emerald
"RavensAsh", Emerald
"Windows Grp", Emerald
"Feyral", Emerald
"Junne", Emerald
"Derkies", Emerald
"Scablar", Emerald
"Motomachi", Sapphire
"Bolongo luvr", Sapphire
"biigdaddyyy", Sapphire
"Iron Moans", Sapphire
"GIM Distheb", Sapphire
"MrSlingshot", Sapphire
"SmokeDatZaZa", Sapphire
"Complex Air", Sapphire
"Harpzi", Sapphire
"Killa Bswarm", RedTopaz
"you ni", RedTopaz
"Bramblet", RedTopaz
"Wetordedlul", RedTopaz
"IMNOGOOOD", RedTopaz
"Smol Loan", RedTopaz
"Aquariumslet", RedTopaz
"SkippyKitty", RedTopaz
"DroneTM", RedTopaz
"Veldmenneke", RedTopaz
"NeutralBob", RedTopaz
